visiting.team,home.team,date,visiting.score,home.score
Valparaiso,Arizona,20111107,64,73
William & Mary,St. John's,20111107,59,74
East. Kentucky,Mississippi St.,20111107,66,76
Duquesne,Arizona,20111109,59,67
Liberty,Texas A&M,20111109,59,81
Akron,Mississippi St.,20111109,68,58
Lehigh,St. John's,20111109,73,78
Michigan State,North Carolina,20111111,55,67
Marist,Kentucky,20111111,58,108
Wright State,Ohio State,20111111,42,73
Columbia,Connecticut,20111111,57,70
Belmont,Duke,20111111,76,77
Oregon,Vanderbilt,20111111,64,78
Jackson State,Florida,20111111,59,99
Tenn.-Martin,Louisville,20111111,48,83
Albany,Pittsburgh,20111111,56,89
Texas Southern,Baylor,20111111,57,77
Towson,Kansas,20111111,54,100
Morgan State,Xavier,20111111,63,74
Loyola Marym't,UCLA,20111111,69,58
Ferris State,Michigan,20111111,33,59
North Florida,Alabama,20111111,44,64
Mt. St. Mary's,Marquette,20111111,37,91
Eastern Wash.,Gonzaga,20111111,69,77
UC Irvine,California,20111111,56,77
Southeast Mo. St.,Missouri,20111111,68,83
N'west Mo. St.,UMKC,20111111,0,0
Sacred Heart,Hartford,20111111,0,0
Montana State,Arizona State,20111111,72,78
Northeastern,Boston U.,20111111,0,0
John. & Wales,Brown,20111111,0,0
Eastern Illinois,Indiana State,20111111,0,0
Fairfield,Quinnipiac,20111111,0,0
Montreat,Presbyterian,20111111,0,0
Simpson,Utah Valley,20111111,0,0
Stony Brook,Indiana,20111111,66,96
Randolph,Liberty,20111111,0,0
UNC-Greensboro,Tennessee,20111111,63,92
Cornell,St. Bonaventure,20111111,0,0
Jacksonville,Florida State,20111111,67,79
Tennessee Tech,Miami (Fla.),20111111,58,69
St. Peter's,Buffalo,20111111,0,0
Navy,Longwood,20111111,78,70
Ill.-Chicago,Eastern Mich.,20111111,0,0
Milligan,East Carolina,20111111,45,101
Western Caro.,South Carolina,20111111,50,75
UNC-Asheville,NC State,20111111,75,84
Loyola Maryland,Wake Forest,20111111,63,75
Lees-McRae,Appalachian St.,20111111,0,0
Long Island,Hofstra,20111111,0,0
MIT,Harvard,20111111,0,0
Suffolk,New Hampshire,20111111,0,0
Covenant,Coastal Caro.,20111111,0,0
Howard,Bowling Green,20111111,0,0
Lafayette,La Salle,20111111,53,79
Md.-East. Shore,Geo. Washington,20111111,0,0
Northern Ill.,Purdue,20111111,34,96
Monmouth,Villanova,20111111,70,106
Lake Erie,Detroit,20111111,0,0
Rider,Robert Morris,20111111,0,0
Anderson (Ind.),IUPUI,20111111,68,101
Delaware,Radford,20111111,0,0
Bethune-Cookman,Stetson,20111111,0,0
La.-Monroe,Mississippi,20111111,38,60
Rhode Island,George Mason,20111111,0,0
St. Francis (Pa.),VCU,20111111,0,0
Houston Baptist,Campbell,20111111,0,0
Cheyney,Coppin State,20111111,0,0
Valparaiso,Ga. Southern,20111111,0,0
Alabama State,Marshall,20111111,49,67
Roanoke,Furman,20111111,0,0
Holy Cross,Charleston,20111111,69,78
N.C. Central,Charlotte,20111111,0,0
American,Richmond,20111111,0,0
Penn,UMBC,20111111,0,0
Southern Utah,UC Davis,20111111,0,0
Dartmouth,Rutgers,20111111,56,62
Florida A&M,Georgia Tech,20111111,59,92
Idaho State,Oklahoma,20111111,74,78
Fla. Gulf Coast,TCU,20111111,0,0
St. Gregory's,North Texas,20111111,52,81
Charleston So.,Kansas State,20111111,67,72
McMurry,SMU,20111111,49,78
LeTourneau,N'western St.,20111111,0,0
Saint Joseph's,Western Ky.,20111111,0,0
Bucknell,Minnesota,20111111,58,70
Guilford,Davidson,20111111,64,111
Gardner-Webb,Clemson,20111111,44,65
South Dakota,Nebraska,20111111,48,65
Dillard,Southern U.,20111111,0,0
Austin Peay,Middle Tenn.,20111111,0,0
S.C. Upstate,Arkansas,20111111,63,83
Chicago State,Iowa,20111111,53,96
Wofford,Georgia,20111111,49,62
Mary,Green Bay,20111111,0,0
Centenary (La.),Steph. F. Austin,20111111,0,0
Texas A&M-C.C.,Oklahoma State,20111111,39,71
UALR,Tulsa,20111111,49,65
McNeese State,Auburn,20111111,62,84
Yale,Cent. Conn. St.,20111111,0,0
N.C. A&T,Creighton,20111111,65,97
Fort Valley St.,Lipscomb,20111111,0,0
Texas Lutheran,Texas State,20111111,0,0
Harris-Stowe,Murray State,20111111,0,0
Arkansas State,Lamar,20111111,0,0
Tennessee State,Saint Louis,20111111,0,0
Miles,Jacksonville St.,20111111,0,0
UTSA,UTEP,20111111,73,64
UTPA,DePaul,20111111,72,91
Alabama A&M,Tulane,20111111,63,72
Montana,Colorado State,20111111,58,64
Oral Roberts,West Virginia,20111111,71,78
Loyola Chicago,Illinois,20111111,49,67
North Dakota St.,San Francisco,20111111,73,65
Elon,Massachusetts,20111111,0,0
New Orleans,New Mexico,20111111,40,92
BYU,Utah State,20111111,0,0
Colo. Christian,Boise State,20111111,0,0
Portland State,Denver,20111111,0,0
Army,Air Force,20111111,71,87
Claflin,S. Carolina St.,20111111,0,0
Troy,Texas Tech,20111111,85,90
Missouri State,Nevada,20111111,68,46
Grand Canyon,UNLV,20111111,0,0
Fort Lewis,Colorado,20111111,57,85
Cal Lutheran,UC Riverside,20111111,0,0
Central Ark.,Stanford,20111111,52,91
Chapman,UC Santa Barb.,20111111,0,0
Illinois State,Fresno State,20111111,0,0
No. New Mexico,Weber State,20111111,0,0
Fresno Pacific,St. Mary's (Cal.),20111111,0,0
Redlands,CSU Fullerton,20111111,68,118
Bryant,San Diego State,20111111,0,0
California Merced,Santa Clara,20111111,0,0
Menlo,Sacramento St.,20111111,0,0
CSU Northridge,USC,20111111,59,66
Northern Ariz.,La.-Lafayette,20111111,0,0
Fordham,Syracuse,20111112,53,78
Presbyterian,Duke,20111112,55,96
Kennesaw State,Wisconsin,20111112,31,85
Citadel,VMI,20111112,0,0
South Alabama,Mississippi St.,20111112,65,80
Hartford,Penn State,20111112,55,70
Savannah State,Georgetown,20111112,54,83
Neb. Omaha,IPFW,20111112,0,0
Nicholls State,LSU,20111112,74,96
Spring Hill,Southern Miss,20111112,41,76
Western Illinois,Dayton,20111112,0,0
Fairleigh D'son,Providence,20111112,61,72
Miss. Valley St.,Notre Dame,20111112,67,80
East Tenn. St.,Virginia Tech,20111112,53,64
Lehigh,Iowa State,20111112,77,86
Western Mich.,South Dakota St.,20111112,0,0
NJIT,Manhattan,20111112,0,0
S'west Minn. St.,Milwaukee,20111112,0,0
Florida Atlantic,Portland,20111112,65,70
Emory,Mercer,20111112,57,66
Butler,Evansville,20111112,77,80
Wilmington (Del.),Delaware State,20111112,0,0
Waldorf,North Dakota,20111112,0,0
East. Kentucky,Winthrop,20111112,0,0
CSU Bakersfield,Oregon State,20111112,62,86
Georgia State,Washington,20111112,74,91
Wagner,Princeton,20111112,73,57
St. Thomas (FL),UCF,20111112,61,74
San Jose State,Cal Poly,20111112,0,0
Idaho,Long Beach St.,20111112,0,0
Ferris State,Cent. Michigan,20111112,0,0
Hiram,Akron,20111112,0,0
St. Francis (N.Y.),Seton Hall,20111112,71,75
Bridgewater,High Point,20111112,0,0
William & Mary,Hampton,20111112,0,0
Vermont,South Florida,20111112,59,61
Shenandoah,Radford,20111112,0,0
Methodist,Coastal Caro.,20111112,0,0
UNI,Old Dominion,20111112,0,0
Colgate,Binghamton,20111112,78,74
Bryant,UC Davis,20111112,0,0
Grambling,Houston,20111112,42,88
New Orleans,Rice,20111112,49,83
Youngstown St.,Samford,20111112,0,0
Ohio Dominican,Southern Ill.,20111112,0,0
Upper Iowa,Drake,20111112,0,0
Howard Payne,Sam Houston St.,20111112,0,0
Northern Ariz.,San Francisco,20111112,0,0
New Mexico St.,Northern Colo.,20111112,0,0
Western State,Wyoming,20111112,0,0
Pomona-Pitzer,Pepperdine,20111112,0,0
Southern Utah,San Diego State,20111112,0,0
La.-Lafayette,North Dakota St.,20111112,0,0
North Carolina,UNC-Asheville,20111113,91,75
Cleveland State,Vanderbilt,20111113,71,58
Lamar,Louisville,20111113,48,68
Rider,Pittsburgh,20111113,78,86
Jackson State,Baylor,20111113,59,92
Ball State,Arizona,20111113,63,73
Southern U.,Texas A&M,20111113,58,83
Alabama State,Cincinnati,20111113,40,65
Geo. Washington,California,20111113,54,81
Green Bay,Duquesne,20111113,0,0
UMBC,St. John's,20111113,59,82
Tenn.-Martin,Ohio,20111113,0,0
Mount Ida,Stony Brook,20111113,0,0
S. Carolina St.,Virginia,20111113,38,75
Bryant,Southern Utah,20111113,0,0
N'western St.,UALR,20111113,0,0
Southeastern La.,Tulsa,20111113,52,67
Chicago State,Creighton,20111113,0,0
John. & Wales,N.C. Central,20111113,0,0
Canisius,James Madison,20111113,0,0
Jacksonville St.,Marshall,20111113,44,58
,0,20111113,Navy </schools/navy>,0
North Dakota St.,Northern Ariz.,20111113,0,0
Charleston So.,Wichita State,20111113,57,85
Central Ark.,Sacramento St.,20111113,0,0
Virginia Intermont,Longwood,20111113,73,91
Lake Erie,Troy,20111113,0,0
Chattanooga,Indiana,20111113,53,78
UMKC,Bradley,20111113,58,68
UC Riverside,UTEP,20111113,41,52
Emory & Henry,Wofford,20111113,0,0
Georgia State,Portland,20111113,0,0
Middle Tenn.,Loyola Marym't,20111113,0,0
UC Davis,San Diego State,20111113,0,0
Bowling Green,Georgia,20111113,54,63
Morehead State,NC State,20111113,61,91
La.-Lafayette,San Francisco,20111113,0,0
UTPA,Northwestern,20111113,36,60
Boston U.,Texas,20111113,46,82
Florida Atlantic,Washington,20111113,71,77
CSU Mont. Bay,Pacific,20111113,63,75
UNC-Wilmington,Maryland,20111113,62,71
Gardner-Webb,Lipscomb,20111113,0,0
No. New Mexico,Montana State,20111113,0,0
Concordia (NE),Neb. Omaha,20111114,68,100
Kansas,Kentucky,20111115,65,75
Florida,Ohio State,20111115,74,81
Michigan State,Duke,20111115,69,74
Belmont,Memphis,20111115,81,97
San Diego State,Baylor,20111115,67,77
IPFW,Xavier,20111115,63,86
Bucknell,Vanderbilt,20111115,68,80
Jacksonville St.,Cincinnati,20111115,59,73
Washington St.,Gonzaga,20111115,81,89
Austin Peay,California,20111115,55,72
UNI,St. Mary's (Cal.),20111115,41,57
CSU Northridge,Hawaii,20111115,67,86
Drexel,Rider,20111115,80,62
Morehead State,Charleston,20111115,57,72
Kent State,West Virginia,20111115,70,60
Rhode Island,Texas,20111115,90,100
Yale,Quinnipiac,20111115,62,68
Appalachian St.,East Tenn. St.,20111115,68,81
Robert Morris,St. Peter's,20111115,69,52
Lehigh,Fairleigh D'son,20111115,72,61
Rutgers,Miami (Fla.),20111115,57,72
Harvard,Holy Cross,20111115,73,64
,-1,20111115,VMI </schools/vmi>,0
South Carolina,Elon,20111115,53,58
Charlotte,Cent. Michigan,20111115,77,75
Winthrop,Virginia,20111115,48,69
Chattanooga,Butler,20111115,46,57
Stony Brook,Sacred Heart,20111115,63,74
Dayton,Miami (Ohio),20111115,67,72
Lamar,Ohio,20111115,78,85
LSU,Coastal Caro.,20111115,63,71
La Salle,Villanova,20111115,69,76
Canisius,Longwood,20111115,87,83
Montreat,Western Caro.,20111115,63,109
Louisiana Coll.,McNeese State,20111115,52,71
IUPUI,UALR,20111115,70,75
Eastern Mich.,Texas Southern,20111115,49,66
Nicholls State,Tulane,20111115,50,96
Ark.-Pine Bluff,Oklahoma State,20111115,46,73
Spring Hill,Southeastern La.,20111115,44,71
Howard Payne,Texas State,20111115,55,96
Reinhardt,Tennessee Tech,20111115,64,94
Missouri State,Arkansas State,20111115,77,46
Saint Louis,Southern Ill.,20111115,61,42
Pepperdine,Arizona State,20111115,66,60
Utah State,Weber State,20111115,63,73
BYU-Hawaii,BYU,20111115,52,73
Northern Colo.,Wyoming,20111115,56,75
Iowa State,Drake,20111115,65,74
South Dakota,Eastern Wash.,20111115,61,70
UC Santa Cruz,UC Davis,20111115,78,84
Santa Clara,UC Santa Barb.,20111115,56,89
Seattle,Portland State,20111115,65,66
UTSA,Oral Roberts,20111115,78,77
Middle Tenn.,UCLA,20111115,86,66
Long Beach St.,Pittsburgh,20111116,86,76
Colgate,Wisconsin,20111116,41,68
Stetson,Florida State,20111116,66,79
Princeton,NC State,20111116,58,60
Long Island,Penn State,20111116,68,77
,-2,20111116,Army </schools/army>,95
Mt. St. Mary's,Hartford,20111116,63,50
Vermont,Dartmouth,20111116,65,53
Howard,Old Dominion,20111116,43,53
La.-Monroe,Tennessee,20111116,62,85
Ga. Southern,Wake Forest,20111116,72,81
Jacksonville,Savannah State,20111116,70,73
Navy,Siena,20111116,56,65
Cornell,Buffalo,20111116,59,68
South Dakota St.,Georgia,20111116,61,72
St. Francis (N.Y.),Lafayette,20111116,73,79
Jackson State,Wright State,20111116,39,56
Clemson,Citadel,20111116,73,50
Webber Int'l,S. Carolina St.,20111116,50,69
Sam Houston St.,Notre Dame,20111116,41,74
Florida Atlantic,American,20111116,56,62
Central Penn,Radford,20111116,49,78
N.C. Central,Wagner,20111116,83,87
Oakland,Arkansas,20111116,68,91
Randolph,Norfolk State,20111116,43,63
North Texas,Texas Tech,20111116,64,69
Creighton,UAB,20111116,70,60
Roosevelt,Ill.-Chicago,20111116,42,59
Loyola Chicago,Eastern Illinois,20111116,61,65
Philander Smith,Central Ark.,20111116,97,90
Southeast Mo. St.,Bradley,20111116,65,66
Utah,Boise State,20111116,59,80
Green Bay,North Dakota St.,20111116,61,65
Indiana,Evansville,20111116,94,73
,-2,20111116,UMKC </schools/umkc>,0
Grambling,Utah Valley,20111116,34,64
San Diego Christian,San Diego,20111116,63,89
CSU Bakersfield,Cal Poly,20111116,60,58
New Mexico St.,New Mexico,20111116,62,53
Hofstra,Oregon State,20111116,72,82
San Jose State,San Francisco,20111116,81,83
Maine,Connecticut,20111117,60,80
North Florida,Florida,20111117,55,91
Arizona,St. John's,20111117,81,72
Maryland,Alabama,20111117,42,62
Western Illinois,Michigan,20111117,55,59
Texas A&M,Mississippi St.,20111117,60,69
Niagara,Missouri,20111117,52,83
Temple,Western Mich.,20111117,69,55
Tulsa,Western Ky.,20111117,65,49
Purdue,Iona,20111117,91,90
LSU,Northwestern,20111117,82,88
VCU,Seton Hall,20111117,54,69
N.C. A&T,Campbell,20111117,66,94
Fla. Christian,Bethune-Cookman,20111117,44,62
Penn,Rider,20111117,78,72
NJIT,Massachusetts,20111117,58,79
Hampton,Richmond,20111117,51,72
Loyola Maryland,UMBC,20111117,73,63
Mercer,Furman,20111117,66,46
Alcorn State,West Virginia,20111117,62,97
Lyndon State,Yale,20111117,37,101
Asbury,Morehead State,20111117,48,100
N'western St.,Alabama State,20111117,67,60
Fairfield,Minnesota,20111117,57,67
Prairie View A&M,Fla. Gulf Coast,20111117,59,68
Sacred Heart,Rutgers,20111117,75,91
Wichita State,Colorado,20111117,67,58
Western Caro.,Presbyterian,20111117,80,73
Southern U.,Rice,20111117,65,80
Northern Ill.,Iowa,20111117,55,88
Georgia Tech,Saint Joseph's,20111117,53,66
SIU-Edwardsville,Illinois State,20111117,38,68
Tenn.-Martin,Arkansas State,20111117,45,63
Tenn. Temple,Murray State,20111117,41,83
Southern Miss,Denver,20111117,52,59
Idaho,Montana,20111117,52,57
Lipscomb,Illinois,20111117,64,79
Pacific,Nevada,20111117,54,78
Canisius,UNLV,20111117,70,95
Eastern Wash.,Oregon,20111117,65,73
USC,San Diego State,20111117,54,56
Sacramento St.,Washington St.,20111117,68,79
Jackson State,Ohio State,20111118,41,85
Davidson,Duke,20111118,69,82
Miami (Ohio),Xavier,20111118,60,66
Arizona,Mississippi St.,20111118,57,67
Alabama,Wichita State,20111118,70,60
Texas A&M,St. John's,20111118,58,57
Winthrop,Marquette,20111118,73,95
Norfolk State,Drexel,20111118,61,56
Western Ky.,LSU,20111118,57,76
Temple,Purdue,20111118,77,85
Md.-East. Shore,Tulane,20111118,52,73
Western Mich.,Iona,20111118,88,94
Tulsa,Northwestern,20111118,65,69
Drake,Mississippi,20111118,59,63
Ball State,Indiana State,20111118,50,57
Lehigh,William & Mary,20111118,82,57
Texas State,Toledo,20111118,94,91
CSU Fullerton,Nicholls State,20111118,73,63
Saint Joseph's,Seton Hall,20111118,78,70
Dist. of Columbia,Duquesne,20111118,0,0
TCU,Virginia,20111118,57,55
Texas Southern,Michigan State,20111118,41,76
Colorado,Maryland,20111118,78,71
Samford,Jacksonville,20111118,57,70
East. Kentucky,Liberty,20111118,73,65
UALR,Eastern Mich.,20111118,51,62
Delaware,Villanova,20111118,69,79
St. Bonaventure,Cleveland State,20111118,64,67
McNeese State,Georgia State,20111118,50,69
Arizona Christian,Northern Ariz.,20111118,42,103
St. Peter's,Fairleigh D'son,20111118,62,73
Concordia (MI),Detroit,20111118,68,113
Kennesaw State,Chattanooga,20111118,65,59
Binghamton,Fordham,20111118,49,64
High Point,UCF,20111118,72,84
Webber Int'l,Ga. Southern,20111118,61,84
UC Riverside,Youngstown St.,20111118,49,53
Boston College,Holy Cross,20111118,64,86
,-1,20111118,Elon </schools/elon>,0
S.C. Upstate,UTPA,20111118,70,66
Houston,Arkansas,20111118,87,78
Coppin State,Oklahoma,20111118,65,92
IUPUI,Milwaukee,20111118,49,62
New Mexico,Arizona State,20111118,76,71
Houston Baptist,La.-Lafayette,20111118,64,73
VCU,Georgia Tech,20111118,60,73
Akron,Valparaiso,20111118,59,62
Arizona Christian,Northern Ariz.,20111118,42,103
Western State,Air Force,20111118,37,65
Longwood,BYU,20111118,60,92
Delaware State,Notre Dame,20111118,69,93
Colo. Christian,Idaho State,20111118,66,93
Stanford,UC Davis,20111118,70,49
Penn State,Kentucky,20111119,47,85
Colgate,Syracuse,20111119,47,92
Louisville,Butler,20111119,69,53
Wofford,Wisconsin,20111119,33,69
Vanderbilt,NC State,20111119,86,79
Presbyterian,Cincinnati,20111119,56,54
Hawaii,Gonzaga,20111119,54,73
Charlotte,Lamar,20111119,54,72
Buffalo,Princeton,20111119,53,61
Army,Cent. Conn. St.,20111119,51,67
Southern Ill.,Northeastern,20111119,57,64
Old Dominion,South Florida,20111119,68,66
UNC-Wilmington,Dayton,20111119,49,74
Navy,Quinnipiac,20111119,54,78
Fla. Gulf Coast,SMU,20111119,64,65
Montana State,Utah,20111119,70,64
CSU Northridge,Boise State,20111119,61,103
,-1,20111119,Stetson </schools/stetson>,0
James Madison,La Salle,20111119,83,92
Oakland City,Evansville,20111119,53,80
Drexel,Virginia,20111119,35,49
Towson,Belmont,20111119,41,87
Cal Poly,USC,20111119,42,36
Florida A&M,Providence,20111119,65,87
Oakland,Grambling,20111119,75,45
Troy,East Tenn. St.,20111119,71,81
St. Francis (N.Y.),Hofstra,20111119,59,63
Long Beach St.,San Diego State,20111119,73,77
East. Kentucky,William & Mary,20111119,63,44
Hartford,Brown,20111119,52,59
Sacred Heart,Richmond,20111119,58,83
Lipscomb,Illinois State,20111119,70,78
Toledo,S.C. Upstate,20111119,75,70
Drake,Winthrop,20111119,66,62
Duquesne,Akron,20111119,81,76
San Francisco,Seattle,20111119,69,63
Marist,Vermont,20111119,75,84
UNC-Greensboro,Middle Tenn.,20111119,60,82
UMBC,VMI,20111119,79,84
Nicholls State,Houston Baptist,20111119,80,70
St. Francis (Pa.),Bucknell,20111119,42,73
Alabama State,Jacksonville St.,20111119,65,78
Wagner,Lafayette,20111119,76,70
Alcorn State,Kent State,20111119,58,77
N'western St.,Marshall,20111119,61,83
Charleston,Clemson,20111119,72,69
Bryant,Dartmouth,20111119,62,66
La.-Monroe,Southeastern La.,20111119,60,63
Robert Morris,Penn,20111119,60,66
Rochester (MI),Tenn.-Martin,20111119,59,76
American,Columbia,20111119,66,58
North Florida,Miami (Fla.),20111119,62,75
George Mason,Florida Atlantic,20111119,75,80
Chicago State,N.C. A&T,20111119,70,87
Siena,Mt. St. Mary's,20111119,65,53
Milligan,Charleston So.,20111119,59,89
Weber State,UC Irvine,20111119,80,72
Lehigh,Liberty,20111119,90,80
Gardner-Webb,S. Carolina St.,20111119,68,73
Savannah State,Indiana,20111119,65,94
Texas State,UTPA,20111119,77,79
Wyoming,Green Bay,20111119,44,52
North Dakota,Bradley,20111119,69,78
Louisiana Tech,Texas-Arlington,20111119,61,68
UTEP,New Mexico St.,20111119,73,89
Appalachian St.,Tennessee Tech,20111119,68,63
Long Island,Radford,20111119,81,59
Austin Peay,Oral Roberts,20111119,59,71
Emporia State,Missouri State,20111119,45,71
,-1,20111119,Valparaiso </schools/valparaiso>,0
Oakwood,Alabama A&M,20111119,74,75
CSU Fullerton,La.-Lafayette,20111119,69,63
Texas,Oregon State,20111119,95,100
Southern Miss,Colorado State,20111119,79,58
Southern Utah,Utah State,20111119,62,65
UMKC,Utah Valley,20111119,54,58
Harvard,Loyola Marym't,20111119,77,67
San Jose State,Santa Clara,20111119,58,84
Pepperdine,CSU Bakersfield,20111119,70,79
Miss. Valley St.,North Carolina,20111120,75,101
Old Dominion,Kentucky,20111120,52,62
Coppin State,Connecticut,20111120,70,87
Purdue,Alabama,20111120,56,65
Mississippi,Marquette,20111120,66,96
South Alabama,Florida State,20111120,39,80
Western Mich.,Colorado,20111120,76,81
Western Ky.,VCU,20111120,64,69
Washington,Saint Louis,20111120,64,77
Hampton,Rutgers,20111120,52,66
Holy Cross,Fairfield,20111120,52,73
Loyola Maryland,New Hampshire,20111120,66,60
Western Caro.,Iowa State,20111120,60,92
Houston Baptist,CSU Fullerton,20111120,88,83
Arkansas State,Ohio,20111120,54,69
Polytechnic (N.Y.),NJIT,20111120,28,78
Eastern Illinois,Northern Ill.,20111120,67,55
Loyola Chicago,Furman,20111120,51,63
UNC-Greensboro,Towson,20111120,72,60
Boston U.,Cornell,20111120,66,71
Rhode Island,Nebraska,20111120,63,83
Iona,Maryland,20111120,89,63
South Florida,Penn State,20111120,49,53
LSU,Georgia Tech,20111120,59,50
East. Kentucky,Lehigh,20111120,51,76
Steph. F. Austin,Texas Tech,20111120,54,66
Eastern Mich.,IUPUI,20111120,66,64
Iowa,Creighton,20111120,59,82
Murray State,UAB,20111120,62,55
Md.-East. Shore,Rice,20111120,49,81
Nicholls State,La.-Lafayette,20111120,57,84
Belmont,Middle Tenn.,20111120,87,84
Duquesne,Valparaiso,20111120,68,84
William & Mary,Liberty,20111120,65,64
Texas Southern,Milwaukee,20111120,38,73
Southeast Mo. St.,Oregon,20111120,61,86
Wichita State,Temple,20111120,78,74
Vermont,Long Island,20111120,75,80
S.C. Upstate,Texas State,20111120,82,74
Tennessee State,South Carolina,20111120,64,63
Norfolk State,TCU,20111120,66,53
Tulsa,Saint Joseph's,20111120,75,79
Northern Colo.,UNI,20111120,69,78
UALR,Michigan State,20111120,47,69
Prairie View A&M,Nevada,20111120,47,60
Binghamton,St. Peter's,20111120,43,66
N.C. Central,Wake Forest,20111120,79,93
Marist,Radford,20111120,60,47
Montana,San Diego,20111120,73,60
Toledo,UTPA,20111120,64,54
Concordia College,Jackson State,20111120,63,73
Northwestern,Seton Hall,20111120,80,73
Washington St.,Portland,20111120,83,73
Morgan State,UNLV,20111120,55,92
North Florida,Ohio State,20111121,50,85
Tennessee,Duke,20111121,67,77
Michigan,Memphis,20111121,73,61
Wright State,Florida,20111121,65,78
Norfolk State,Marquette,20111121,57,59
Vanderbilt,Oregon State,20111121,64,62
California,Georgia,20111121,70,46
Notre Dame,Missouri,20111121,58,87
La.-Monroe,Mississippi St.,20111121,63,78
Drexel,Winthrop,20111121,68,45
Virginia,Drake,20111121,60,52
Niagara,South Dakota St.,20111121,71,79
Monmouth,Albany,20111121,49,85
Detroit,Geo. Washington,20111121,73,86
TCU,Mississippi,20111121,69,80
Ark.-Pine Bluff,FIU,20111121,58,56
Gardner-Webb,Indiana,20111121,49,73
NC State,Texas,20111121,77,74
Sam Houston St.,Mercer,20111121,38,60
Manhattan,Fresno State,20111121,85,83
Howard,Rider,20111121,72,74
Warren Wilson,Chattanooga,20111121,36,88
N'western St.,Cincinnati,20111121,43,71
Judson,IPFW,20111121,59,85
St. Bonaventure,Siena,20111121,64,58
Jacksonville,Bethune-Cookman,20111121,65,55
Miami (Ohio),Saginaw Valley,20111121,71,61
Savannah State,Butler,20111121,42,57
Massachusetts,Boston College,20111121,82,46
Green Bay,Indiana State,20111121,56,57
Fla. Christian,Citadel,20111121,44,97
Brown,George Mason,20111121,48,74
Austin Peay,Bowling Green,20111121,72,82
Stetson,Charleston So.,20111121,64,73
Mt. St. Mary's,Minnesota,20111121,56,85
Victory,Toledo,20111121,47,90
Campbell,Chicago State,20111121,75,69
Presbyterian,Davidson,20111121,54,68
SMU,Oral Roberts,20111121,56,62
UCLA,Chaminade,20111121,92,60
UTSA,Colorado State,20111121,75,85
Cent. Michigan,Pepperdine,20111121,67,57
,-1,20111121,Pacific </schools/pacific>,0
Tennessee State,North Carolina,20111122,69,102
Michigan,Duke,20111122,75,82
Arkansas State,Louisville,20111122,27,54
Memphis,Tennessee,20111122,99,97
S. Carolina St.,Baylor,20111122,50,70
UMKC,Wisconsin,20111122,31,77
Georgetown,Kansas,20111122,63,67
UCLA,Kansas,20111122,56,72
La Salle,Pittsburgh,20111122,69,73
Missouri,California,20111122,92,53
SIU-Edwardsville,Lipscomb,20111122,87,90
Sacred Heart,Hampton,20111122,78,71
South Dakota St.,Sam Houston St.,20111122,77,60
Georgetown,Chaminade,20111122,88,61
Geo. Washington,Austin Peay,20111122,54,52
Monmouth,Brown,20111122,71,79
Ark.-Pine Bluff,SMU,20111122,55,64
Ecclesia,Central Ark.,20111122,75,90
Illinois State,Rutgers,20111122,76,70
Southern U.,Providence,20111122,53,59
Yale,Seton Hall,20111122,62,73
Florida Atlantic,Hofstra,20111122,62,60
Fla. Gulf Coast,Miami (Fla.),20111122,50,60
Bucknell,Marist,20111122,74,68
Wagner,Penn,20111122,71,65
Robert Morris,James Madison,20111122,82,77
Morehead State,West Virginia,20111122,48,83
Tulane,Navy,20111122,57,55
Bryant,Army,20111122,65,69
Miss. Valley St.,South Carolina,20111122,57,61
Niagara,Mercer,20111122,55,74
Elon,Princeton,20111122,56,55
East Carolina,Appalachian St.,20111122,67,47
Cornell,Delaware,20111122,64,72
Fairleigh D'son,Lafayette,20111122,74,85
Canisius,Buffalo,20111122,59,94
Columbia,Stony Brook,20111122,53,67
Tennessee Tech,High Point,20111122,62,57
Marshall,UNC-Wilmington,20111122,69,64
UMBC,Cent. Conn. St.,20111122,69,77
Fresno State,UTSA,20111122,79,83
Albany,George Mason,20111122,46,66
East Tenn. St.,Charlotte,20111122,70,69
Quinnipiac,American,20111122,73,74
Detroit,Bowling Green,20111122,61,67
Cleveland State,Kent State,20111122,57,53
Notre Dame,Georgia,20111122,57,61
Md.-East. Shore,Kansas State,20111122,50,92
North Texas,Texas-Arlington,20111122,64,97
Wofford,Bradley,20111122,70,66
Northern Colo.,Iowa State,20111122,82,90
Victory,UTPA,20111122,64,83
Florida A&M,Rice,20111122,59,75
Western Caro.,UNI,20111122,39,59
Utah Valley,Arkansas,20111122,59,67
Greenville,Western Illinois,20111122,49,84
Tulsa,Jackson State,20111122,57,51
Georgia State,Samford,20111122,55,47
Lamar,Tenn.-Martin,20111122,80,69
Dillard,McNeese State,20111122,43,80
Troy,UAB,20111122,59,71
Oakland,Houston,20111122,76,74
FIU,Oral Roberts,20111122,65,73
Utah State,Texas A&M-C.C.,20111122,55,58
No. New Mexico,Northern Ariz.,20111122,49,80
Prairie View A&M,BYU,20111122,51,90
South Dakota,Wyoming,20111122,56,67
Seattle,Montana State,20111122,85,73
St. Francis (N.Y.),St. John's,20111122,48,63
Coastal Caro.,Clemson,20111122,60,59
Richmond,Illinois,20111122,61,70
Manhattan,Colorado State,20111122,86,91
Portland,UC Santa Barb.,20111122,69,83
Holy Names,San Jose State,20111122,71,109
Morgan State,USC,20111122,62,65
Sacramento St.,UC Davis,20111122,69,61
